policy,profit_mean,profit_std,yield_mean,yield_std,irrigation_mean,irrigation_std,rainfall_mean,total_water_mean,iwue_mean,iwue_std,wue_mean,wue_std,stress_days_mean,stress_days_std
Random,468.5605873200151,36.095892788691074,2530.035321684984,166.4575840184962,733.7265287556781,29.65948308398228,16.114788974606654,749.8413177302848,3.451949079932585,0.24032781823970076,3.3770784950673463,0.22019946587915273,129.46666666666667,2.404625172916191
Farmer (10-day),1144.8981516730503,26.17036582116669,5602.847880939561,127.33633816693097,731.0698511137747,25.20839494012864,16.114788974606654,747.1846400883813,7.6692006659410765,0.20376780680993603,7.503738651945263,0.16389235653839676,87.3,5.6341222327291876
Threshold (0.45),1356.6343696670779,42.117819787478574,6566.734332353452,204.9688798591964,733.7265287556781,29.65948308398228,16.114788974606654,749.8413177302848,8.954877194256023,0.1942967702592107,8.76240007777563,0.148714653082725,64.13333333333334,3.5188381921057723
TSA-SAC (ours),1485.2910488125754,45.99813524302031,7151.537419378439,222.91957158936466,733.7265287556781,29.65948308398228,16.114788974606654,749.8413177302848,9.752159010511185,0.20153104995449148,9.542682431490617,0.15796541397393654,55.833333333333336,3.821721543435047
