policy,profit_mean,profit_std,yield_mean,yield_std,irrigation_mean,irrigation_std,rainfall_mean,total_water_mean,iwue_mean,iwue_std,wue_mean,wue_std,stress_days_mean,stress_days_std
Random,236.5877551281261,68.06983968242231,4825.398886946028,309.40836219282863,1500.0,0.0,16.114788974606654,1516.1147889746067,3.216932591297352,0.20627224146188575,3.182591336942471,0.1999916056838306,93.2,4.9084960357866585
Farmer (10-day),836.0870031619321,21.557385083121847,5712.8954689178745,97.98811401419017,765.0,0.0,16.114788974606654,781.1147889746067,7.46783721427173,0.12808903792704593,7.313778030125772,0.06958319554632386,80.96666666666667,3.7191695608323943
Threshold (0.45),945.9999999999999,8.520563361656317,7600.0,0.0,1320.0,15.491933384829668,16.114788974606654,1336.1147889746067,5.758369221935112,0.06762043675479845,5.688527597377239,0.047246015808545545,0.0,0.0
Farmer Expert,990.2082985162734,9.353793871476904,7600.0,0.0,1239.6212754249573,17.006897948139844,16.114788974606654,1255.736064399564,6.132069631877001,0.08493320761296262,6.0526645175323095,0.05137735198997293,0.0,0.0
TSA-SAC (ours),1038.6290875689187,4.973560305769904,7600.0,0.0,1151.5834771474204,9.04283691958166,16.114788974606654,1167.698266122027,6.600014741515573,0.05174743647350769,6.5092910905951085,0.07014335621059432,16.0,2.1447610589527217
