variant,profit_mean,profit_std_across_seeds,yield_mean,yield_std_across_seeds,irrigation_mean,iwue_mean,wue_mean,stress_days_mean,p_value_vs_tsa_sac_dynamic,algorithm,encoder_type,dynamic_reward,seq_len,lstm_hidden
SAC-MLP,803.4647157850017,0.0,4652.11234447728,0.0,400.0,11.630280861193201,11.21328581388309,95.75,nan,sac,mlp,False,1,64
SAC-BiLSTM,803.2292942197344,0.0,4651.042246453338,0.0,400.0,11.627605616133344,11.210956004605924,95.85,nan,sac,bilstm,False,7,64
TSA-SAC (fixed),817.1153090504429,0.0,4714.160495683832,0.0,400.0,11.785401239209577,11.363005831652965,94.8,nan,sac,tsa,False,7,64
TSA-SAC (dynamic),782.5761324341012,0.0,4557.164238336823,0.0,400.0,11.392910595842059,10.9846620623792,97.2,1.0,sac,tsa,True,7,64
PPO-MLP,340.0635731069902,0.0,1880.4215384146748,0.0,133.87120971679687,14.05269929812204,12.663278598555156,153.2,nan,ppo,mlp,True,1,64
DDPG-MLP,783.9521576463297,0.0,4563.418898392409,0.0,400.0,11.408547245981019,11.000253796340122,97.15,nan,ddpg,mlp,True,1,64
